timestamp,choice,reward,load0,load1
08:07:43,0,10.00,206,205
08:07:45,0,10.00,207,205
08:07:46,0,10.00,208,205
08:07:48,0,10.00,209,205
08:07:50,0,10.00,210,205
08:07:51,0,10.00,211,205
08:07:53,0,10.00,212,205
08:07:55,0,1.00,213,205
08:07:57,1,0.50,214,205
08:07:59,0,0.50,214,206
08:08:01,1,10.00,215,206
08:08:02,0,0.50,215,207
08:08:04,1,10.00,216,207
08:08:06,1,10.00,216,208
08:08:07,1,10.00,216,209
08:08:09,1,10.00,216,210
08:08:10,1,10.00,216,211
08:08:12,1,10.00,216,212
08:08:14,1,10.00,216,213
08:08:15,1,10.00,216,214
08:08:17,1,10.00,216,215
08:08:18,1,10.00,216,216
08:08:20,1,10.00,216,217
08:08:22,1,10.00,216,218
08:08:23,1,10.00,216,219
08:08:25,1,10.00,216,220
08:08:26,1,10.00,216,221
08:08:28,1,10.00,216,222
08:08:30,1,1.00,216,223
08:08:32,1,0.50,216,224
08:08:33,0,10.00,216,225
08:08:35,0,10.00,217,225
08:08:36,0,10.00,218,225
08:08:38,0,10.00,219,225
08:08:40,0,10.00,220,225
08:08:41,0,10.00,221,225
08:08:43,0,10.00,222,225
08:08:44,0,10.00,223,225
08:08:46,0,10.00,224,225
08:08:48,0,10.00,225,225
08:08:49,0,10.00,226,225
08:08:51,0,10.00,227,225
08:08:52,0,10.00,228,225
08:08:54,0,10.00,229,225
08:08:56,0,10.00,230,225
08:08:57,0,10.00,231,225
08:08:59,0,10.00,232,225
08:09:01,0,1.00,233,225
08:09:02,1,1.00,234,225
08:09:04,0,0.50,234,226
08:09:06,1,10.00,235,226
08:09:07,0,0.50,235,227
08:09:09,1,10.00,236,227
08:09:10,1,10.00,236,228
08:09:12,1,10.00,236,229
08:09:14,1,10.00,236,230
08:09:15,1,10.00,236,231
08:09:17,1,10.00,236,232
08:09:19,1,10.00,236,233
08:09:20,1,10.00,236,234
08:09:22,1,10.00,236,235
08:09:23,1,10.00,236,236
08:09:25,1,10.00,236,237
08:09:27,1,10.00,236,238
08:09:28,1,10.00,236,239
08:09:30,1,10.00,236,240
08:09:31,1,10.00,236,241
08:09:33,1,10.00,236,242
08:09:35,1,10.00,236,243
